Jahr;Geschlecht;Vorname;Anzahl
2008;W;Leyan;1
2008;M;Liam;4
2008;W;Lilian;1
2008;W;Lisette;1
2008;W;Lotta;1
2008;W;Lou;1
2008;W;Luana;2
2008;W;Lucca;1
2008;W;Lucia;1
2008;W;Madlen;1
2008;W;Mailin;1
2008;W;Marta;1
2008;W;Masa;1
2008;W;Mathilde;1
2008;M;Matthieu;1
2007;W;Julina;1
2007;M;Julius;2
2007;M;Justin;1
2007;M;Kerim;1
2007;M;Kevin;4
2007;W;Kiera;1
2007;W;Kije;1
2007;W;Kween-Faye;1
2007;M;Kyan;1
2007;W;Lajla;1
2007;M;Leart;2
2007;M;Leo;2
2007;W;Leticia;2
2007;W;Lis;1
2007;W;Livia;2
2007;W;Lolita;1
2007;W;Lorella;1
2007;W;Lorina;1
2007;W;Lotta;2
2007;M;Lucas;1
2007;W;Lucianne;1
2007;M;Lucio;1
2007;M;Mads;1
2007;W;Malena;1
2007;M;Malik;2
2007;W;Malka;1
2007;M;Manuel;2
2007;W;Maria;3
2007;M;Mario;1
2007;W;Matea;1
2007;M;Matiwos;1
2007;M;Matteo;5
2007;M;Matthew;2
2007;M;Max;4
2007;W;Nerea;1
2007;M;Nicola;1
2008;M;Umar;1
2008;M;William;1
2009;W;Aarabi;1
2007;W;Rebecca;3
2007;W;Rekha;1
2007;W;Sara;4
2007;W;Savanna;1
2007;W;Selin;1
2007;M;Severin;1
2007;W;Sina;1
2007;W;Sofija;1
2007;W;Soumaya;1
2007;W;Tara;1
2007;W;Theodosia-Penelope;1
2007;M;Tuncay;1
2007;M;Vihaan;1
2007;M;Vincent;7
2008;M;Abel;1
2008;W;Airin;1
2008;M;Aleksandar;2
2008;W;Angelina;2
2008;W;Anna-Lena;1
2008;W;Asmin;1
2008;M;Atreju;1
2008;W;Aulona;1
2008;W;Ava;5
2008;M;Blend;1
2008;M;Calum;1
2009;M;Aditya;1
2009;W;Ajlinda;1
2009;W;Akhira;1
2009;M;Akshath;1
2009;M;Albert;1
2009;M;Albion;1
2009;W;Alexa;1
2009;W;Aleyna;1
2009;W;Alice;2
2009;M;Almir;1
2009;W;Altina;1
2009;W;Amanda;1
2009;M;Amin;1
2009;W;Anais;1
2009;W;Anamarija;2
2009;M;Andrea;1
2009;W;Andrina;1
2009;W;Anina;1
2009;M;Anton;3
2009;M;Antonin;1
2009;W;Anusha;1
2009;M;Archith;1
2009;W;Ariane;1
2009;W;Asmin;1
2009;W;Asvini;1
2009;W;Ayleen;2
